GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
p2p,com.finovago.p2p.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.exception,UnknownGiftCardException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,LedgerEntryNotFoundException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,InvalidRefreshTokenException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,GlobalExceptionHandler,56,277,0,0,20,97,4,21,4,21
p2p,com.finovago.p2p.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,OwnerPrivilegeRequiredException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,ExpiredGiftCardException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,IdempotencyKeyConflictException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,HoldAlreadyFinalizedException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,InactiveGiftCardException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,InvalidRefundTargetException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,InsufficientAvailableBalanceException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,SelfDeactivationException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,IdempotencyKeyInProgressException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,RefundExceedsOriginalAmountException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,ServiceAccountNotAllowedException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.exception,HoldNotFoundException,0,4,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.scheduler,KeepAliveScheduler,44,0,2,0,12,0,4,0,3,0
p2p,com.finovago.p2p.scheduler,IdempotencyKeyCleanupScheduler,0,28,0,0,0,10,0,3,0,3
p2p,com.finovago.p2p.scheduler,HoldExpirationScheduler,8,59,0,4,2,17,0,5,0,3
p2p,com.finovago.p2p.scheduler,LedgerReconciliationScheduler,0,76,0,4,0,17,0,5,0,3
p2p,com.finovago.p2p.scheduler,RefreshTokenCleanupScheduler,6,22,0,0,2,8,0,3,0,3
p2p,com.finovago.p2p.scheduler,LedgerPartitionMonitorScheduler,0,63,0,4,0,20,0,7,0,5
p2p,com.finovago.p2p.security,JwtAccessDeniedHandler,0,26,0,0,0,8,0,2,0,2
p2p,com.finovago.p2p.security,ApiKeyAuthenticationFilter,0,79,2,6,0,21,2,5,0,3
p2p,com.finovago.p2p.security,CurrentUserContext,5,43,1,3,1,11,1,7,0,6
p2p,com.finovago.p2p.security,UserPrincipal,0,24,0,0,0,4,0,4,0,4
p2p,com.finovago.p2p.security,JwtService,0,124,0,0,0,29,0,13,0,13
p2p,com.finovago.p2p.security,AuthenticatedUser,0,29,0,0,0,4,0,3,0,3
p2p,com.finovago.p2p.security,JwtAuthenticationFilter,32,122,9,11,8,31,8,6,0,4
p2p,com.finovago.p2p.security,JwtAuthenticationEntryPoint,0,26,0,0,0,8,0,2,0,2
p2p,com.finovago.p2p,P2pApplication,5,3,0,0,2,1,1,1,1,1
p2p,com.finovago.p2p.controller,HealthController,3,3,0,0,1,1,1,1,1,1
p2p,com.finovago.p2p.controller,GiftCardController,110,69,0,0,15,15,6,6,6,6
p2p,com.finovago.p2p.controller,AuthController,8,238,3,5,2,57,3,14,0,13
p2p,com.finovago.p2p.service,LedgerService,0,88,0,2,0,20,0,9,0,8
p2p,com.finovago.p2p.service,RefreshTokenService,7,176,0,4,2,43,0,12,0,10
p2p,com.finovago.p2p.service,GiftCardCreditService,0,190,0,6,0,37,0,9,0,6
p2p,com.finovago.p2p.service,GiftCardService,2,471,2,18,0,96,2,24,0,16
p2p,com.finovago.p2p.service,IdempotencyKeyService,16,179,0,6,4,40,1,14,1,11
p2p,com.finovago.p2p.service,UserService,0,26,0,0,0,6,0,3,0,3
p2p,com.finovago.p2p.service,ApiKeyService,0,196,0,12,0,42,0,14,0,8
p2p,com.finovago.p2p.service,AuthService,22,413,5,23,4,79,5,23,0,14
p2p,com.finovago.p2p.service,GiftCardRefundService,0,224,0,6,0,40,0,9,0,6
p2p,com.finovago.p2p.service,GiftCardHoldService,5,449,0,16,0,72,1,19,1,11
p2p,com.finovago.p2p.logging,LevelColorConverter,42,0,0,0,9,0,3,0,3,0
p2p,com.finovago.p2p.config,ResponseTimeFilter.TimingResponseWrapper.new ServletOutputStream() {...},17,19,0,0,6,4,3,2,3,2
p2p,com.finovago.p2p.config,MdcFilter,0,32,1,3,0,11,1,5,0,4
p2p,com.finovago.p2p.config,StartupLog,1,22,1,1,0,6,1,2,0,2
p2p,com.finovago.p2p.config,RateLimitFilter,23,225,2,8,2,53,3,15,2,11
p2p,com.finovago.p2p.config,DataInitializer,75,0,2,0,14,0,4,0,3,0
p2p,com.finovago.p2p.config,AsyncConfig.MdcTaskDecorator,0,17,0,2,0,8,0,4,0,3
p2p,com.finovago.p2p.config,RateLimitFilter.BucketEntry,0,9,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.config,ResponseTimeFilter.TimingResponseWrapper,0,46,1,3,0,14,1,6,0,5
p2p,com.finovago.p2p.config,AsyncConfig,0,25,0,0,0,8,0,2,0,2
p2p,com.finovago.p2p.config,OpenApiConfig,0,99,0,0,0,13,0,4,0,4
p2p,com.finovago.p2p.config,ResponseTimeFilter,0,60,0,6,0,15,0,7,0,4
p2p,com.finovago.p2p.config,SecurityConfig,0,205,0,0,0,27,0,11,0,11
p2p,com.finovago.p2p.model,User,0,29,0,0,0,10,0,2,0,2
p2p,com.finovago.p2p.model,ApiKey,0,31,0,0,0,12,0,2,0,2
p2p,com.finovago.p2p.model,LedgerEntryType,0,45,0,0,0,8,0,1,0,1
p2p,com.finovago.p2p.model,RefreshToken,0,27,0,0,0,10,0,3,0,3
p2p,com.finovago.p2p.model,GiftCard,0,66,0,6,0,19,0,8,0,5
p2p,com.finovago.p2p.model,HoldStatus,0,27,0,0,0,5,0,1,0,1
p2p,com.finovago.p2p.model,IdempotencyStatus,0,15,0,0,0,3,0,1,0,1
p2p,com.finovago.p2p.model,LedgerEntry,0,71,0,0,0,19,0,4,0,4
p2p,com.finovago.p2p.model,IdempotencyKey,0,44,0,2,0,14,0,5,0,4
p2p,com.finovago.p2p.model,Merchant,0,15,0,0,0,6,0,1,0,1
p2p,com.finovago.p2p.model,Role,0,15,0,0,0,2,0,1,0,1
p2p,com.finovago.p2p.model,GiftCardHold,0,41,0,2,0,15,0,6,0,5
